RESULTS:,13.23,11.64,11.33

OFFSETS ,"['35.40', '42.86', '40.31']"
GREENS ,"['57.76', '41.74', '8.21', '46.99']"
LAST_GREENS ,"['2.74', '17.05', '22.01']"
RESULTS:,15.28,13.04,11.33

OFFSETS ,"['35.40', '40.12', '40.10']"
GREENS ,"['58.63', '41.74', '8.44', '46.99']"
LAST_GREENS ,"['1.87', '16.82', '22.01']"
RESULTS:,13.23,11.64,11.33

OFFSETS ,"['35.11', '42.81', '40.14']"
GREENS ,"['58.62', '41.73', '10.50', '47.12']"
LAST_GREENS ,"['1.88', '14.77', '21.88']"
RESULTS:,15.36,13.19,12.33

OFFSETS ,"['35.27', '42.90', '40.31']"
GREENS ,"['57.14', '41.74', '8.16', '46.99']"
LAST_GREENS ,"['3.36', '17.10', '22.01']"
RESULTS:,13.18,11.28,12.00

OFFSETS ,"['35.40', '40.13', '40.17']"
GREENS ,"['57.75', '41.73', '8.25', '46.99']"
LAST_GREENS ,"['2.75', '17.01', '22.01']"
RESULTS:,13.23,11.64,11.33

OFFSETS ,"['35.40', '40.05', '40.10']"
GREENS ,"['57.12', '41.74', '10.33', '46.99']"
LAST_GREENS ,"['3.38', '14.93', '22.01']"
RESULTS:,17.28,15.15,12.33

OFFSETS ,"['35.40', '40.06', '40.17']"
GREENS ,"['57.20', '50.07', '16.17', '46.99']"
LAST_GREENS ,"['3.30', '0.76', '22.01']"
RESULTS:,92.13,82.90,60.33

OFFSETS ,"['35.36', '42.87', '40.10']"
GREENS ,"['57.73', '41.74', '8.21', '46.99']"
LAST_GREENS ,"['2.77', '17.05', '22.01']"
RESULTS:,15.28,13.04,11.33

OFFSETS ,"['38.46', '27.46', '40.31']"
GREENS ,"['55.10', '39.91', '8.21', '43.91']"
LAST_GREENS ,"['5.40', '18.88', '25.09']"
RESULTS:,18.64,15.24,16.67

OFFSETS ,"['39.39', '40.12', '40.16']"
GREENS ,"['57.76', '41.73', '8.36', '46.99']"
LAST_GREENS ,"['2.74', '16.90', '22.01']"
RESULTS:,13.63,12.04,11.33

OFFSETS ,"['36.99', '38.28', '40.17']"
GREENS ,"['57.23', '41.74', '8.21', '46.93']"
LAST_GREENS ,"['3.27', '17.05', '22.07']"
RESULTS:,11.83,10.53,11.00

OFFSETS ,"['35.39', '40.12', '40.17']"
GREENS ,"['57.26', '41.74', '8.33', '46.99']"
